filename,size,uri,download_url
laa0045v.164,230431,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0045v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0045v.164::0
laa0045v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0045v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0045v.164.jpeg::0
laa0046v.164,230431,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0046v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0046v.164::0
laa0046v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0046v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0046v.164.jpeg::0
laa0047v.164,230431,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0047v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0047v.164::0
laa0047v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0047v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0047v.164.jpeg::0
laa0048v.164,230431,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0048v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0048v.164::0
laa0048v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0048v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0048v.164.jpeg::0
laa0049v.164,230431,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0049v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0049v.164::0
laa0049v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0049v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0049v.164.jpeg::0
